10.1.1.10,G7-VM-SYS
10.1.1.11,G8-VM-SYS
10.1.1.12,G9-VM-SYS
10.1.1.33,Docker VM
10.1.1.39,Home VM
10.2.119.201,Demo_1 VM
10.2.119.202,Demo_2 VM
10.1.4.11,HPE ProCurve CMSI-TOR
10.1.4.13,HPE ProCurve REDFISH-TOR
10.1.4.14,HPE ProCurve SPARE1-TOR
10.1.4.15,HPE ProCurve SWORDFISH-TOR
10.1.4.119,CISCO infrasw1-TOR
10.1.133.14,Brocade FC Switch Fab A
10.1.133.15,Brocade FC Switch Fab B
10.1.133.24,Brocade FC Switch Fab A
10.1.133.25,Brocade FC Switch Fab B
10.1.4.23,APC PDU CMSI-L
10.1.4.24,APC PDU CMSI-R
10.1.4.25,APC PDU REDFISH-L
10.1.4.26,APC PDU REDFISH-R
10.1.4.27,APC PDU INFRA_SMIS-L
10.1.4.28,APC PDU INFRA_SMIS-R
10.1.4.29,APC PDU SPARE1-L
10.1.4.30,APC PDU SPARE1-R
10.1.4.33,APC PDU SWORDFISH-L
10.1.4.34,APC PDU SWORDFISH-R
10.1.134.219,Cumulus Server
10.1.138.26,HPE MSA 1060 A1
10.1.138.27,HPE MSA 1060 A2
10.1.138.28,HPE MSA 1060 B1
10.1.138.29,HPE MSA 1060 B2
10.1.138.33,HPE Nimble CS220 Eth3
10.1.138.34,HPE Nimble CS220 Discovery
10.1.138.35,HPE Nimble CS220 Eth4
10.1.254.14,CMSI Intel Server #1 BMC
10.2.119.72,CMSI Intel Server #2 BMC
10.2.101.220,HPE Nimble CS220
10.2.101.222,HPE Nimble CS220 Cont A
10.2.101.223,HPE Nimble CS220 Cont B
10.2.101.90,HPE MSA 1060 Controller A
10.2.101.91,HPE MSA 1060 Controller B
10.2.110.10,RedHat server BMC
10.2.117.1,Pure Storage FlashArray//M20 Cont 0
10.2.117.2,Pure Storage FlashArray//M20 Cont 1
10.2.117.3,Pure Storage FlashArray//M20 Purity 5.1.7
10.2.117.11,Pure Storage FlashArray//X20R3 Cont 0
10.2.117.12,Pure Storage FlashArray//X20R3 Cont 1
10.2.117.13,Pure Storage FlashArray//X20R3 Purity 5.3.14
10.2.106.250,SMI Swordfish Emulator / Basic Web Client
10.2.119.30,DMTF HPE Server BMC
10.2.119.32,DMTF Dell Server BMC
10.2.119.34,DMTF Lenovo Server BMC
10.2.119.36,DMTF Cisco Server BMC
10.2.119.38,DMTF Intel Server BMC
